vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Casablanca,2023.0,Automatique,Diesel,45000.0,Ford,Kuga,5.0,WW au Maroc,Oui,6.0,Excellent,326000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Guelmim,2020.0,Manuelle,Diesel,120000.0,Dacia,Sandero,5.0,WW au Maroc,Non,6.0,Très bon,125000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Tanger,2010.0,Manuelle,Essence,90000.0,Hyundai,i10,,,,,,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temara,2007.0,Manuelle,Essence,160000.0,Ford,Focus,5.0,Importée neuve,,,,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fès,2019.0,Automatique,Diesel,70000.0,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8.0,Excellent,275000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Rabat,2013.0,Automatique,Diesel,170000.0,BMW,Série 7,5.0,WW au Maroc,Non,12.0,Excellent,175000,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1
Tétouan,2018.0,Manuelle,Diesel,65000.0,Toyota,Yaris,5.0,WW au Maroc,Oui,5.0,Très bon,125000,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1
Casablanca,2018.0,Automatique,Diesel,100000.0,Volkswagen,Golf 7,5.0,WW au Maroc,Oui,8.0,Bon,165000,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
Rabat,2020.0,Automatique,Diesel,110000.0,Opel,Astra,5.0,WW au Maroc,Oui,6.0,Excellent,180000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Meknès,2022.0,Manuelle,Diesel,170000.0,Dacia,Logan,5.0,,,,,138000,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1
Casablanca,2023.0,Automatique,Diesel,35000.0,Peugeot,3008,5.0,WW au Maroc,Oui,6.0,Excellent,328000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Rabat,2012.0,Automatique,Diesel,160000.0,Renault,Fluence,5.0,WW au Maroc,Non,6.0,Très bon,98000,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
Rabat,2014.0,Manuelle,Diesel,250000.0,Ford,C Max,5.0,,,,,130000,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
Salé,2015.0,Manuelle,Diesel,150000.0,Renault,Clio,5.0,WW au Maroc,Non,6.0,Très bon,109000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
El Jadida,2017.0,Manuelle,Diesel,180000.0,Renault,Clio,,,,,,120000,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1
Casablanca,2019.0,Automatique,Diesel,90000.0,Dacia,Duster,5.0,WW au Maroc,,,,165000,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1
Tanger,2014.0,Manuelle,Diesel,120000.0,Toyota,RAV-4,5.0,WW au Maroc,Oui,8.0,Excellent,154000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2023.0,Manuelle,Diesel,55000.0,Opel,Crossland,5.0,WW au Maroc,Oui,6.0,Très bon,195000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Dakhla,2009.0,Manuelle,Diesel,250000.0,Honda,Accord,5.0,,,,,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2008.0,Manuelle,Diesel,200000.0,Honda,CR-V,5.0,WW au Maroc,Non,8.0,Excellent,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2016.0,Manuelle,Diesel,160000.0,Ford,Focus,5.0,WW au Maroc,Oui,6.0,Excellent,143000,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
Casablanca,2014.0,Automatique,Diesel,180000.0,Land Rover,Range Rover Evoque,5.0,,,,,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2013.0,Manuelle,Diesel,200000.0,Peugeot,308,3.0,WW au Maroc,Oui,8.0,Excellent,125000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Casablanca,2022.0,Manuelle,Diesel,35000.0,Renault,Clio,,,,,,196000,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Tanger,2017.0,Manuelle,Diesel,200000.0,Peugeot,508,5.0,WW au Maroc,Non,6.0,Excellent,139000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Agadir,2018.0,Manuelle,Diesel,70000.0,Ford,Fiesta,5.0,WW au Maroc,Non,6.0,Excellent,120000,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1
Rabat,2017.0,Manuelle,Diesel,200000.0,Peugeot,508,5.0,WW au Maroc,Non,6.0,Excellent,139000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2023.0,Manuelle,Diesel,35000.0,Fiat,Fiorino,5.0,WW au Maroc,Oui,5.0,Très bon,139000,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
Taza,2001.0,Manuelle,Essence,0.0,Peugeot,206,5.0,WW au Maroc,Non,6.0,Excellent,44000,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
Casablanca,2017.0,Manuelle,Diesel,200000.0,Peugeot,508,5.0,WW au Maroc,Non,6.0,Excellent,139000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fès,2017.0,Manuelle,Diesel,200000.0,Peugeot,508,5.0,WW au Maroc,Non,6.0,Excellent,139000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Tanger,2017.0,Automatique,Diesel,180000.0,Mercedes-Benz,220,5.0,Dédouanée,Non,9.0,Excellent,345000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meknès,2022.0,Manuelle,Diesel,95000.0,Dacia,Sandero,5.0,WW au Maroc,Oui,6.0,Excellent,138000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Fès,2012.0,Manuelle,Diesel,200000.0,Volkswagen,Caddy,5.0,,,,,115000,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Kénitra,2020.0,Automatique,Diesel,110000.0,Volkswagen,Arteon,5.0,WW au Maroc,Non,8.0,Excellent,250000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Rabat,2011.0,Manuelle,Diesel,190000.0,Citroën,C4,,,,,,93000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Casablanca,2011.0,Manuelle,Diesel,150000.0,Toyota,RAV-4,5.0,WW au Maroc,Non,8.0,Excellent,107000,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1
Casablanca,2021.0,Manuelle,Diesel,150000.0,Peugeot,Rifter,5.0,WW au Maroc,Oui,6.0,Excellent,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2021.0,Automatique,Diesel,80000.0,Opel,Astra,5.0,WW au Maroc,Oui,6.0,Très bon,205000,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Casablanca,2022.0,Manuelle,Diesel,25000.0,Opel,Crossland,5.0,WW au Maroc,Oui,6.0,Très bon,196000,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
Marrakech,2019.0,Automatique,Diesel,140000.0,Hyundai,Tucson,5.0,WW au Maroc,Non,7.0,Excellent,220000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Sidi Bou Othmane,2000.0,Manuelle,Diesel,200000.0,Mercedes-Benz,Classe C,5.0,Dédouanée,Oui,8.0,Très bon,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agadir,2013.0,Manuelle,Diesel,300000.0,Skoda,Octavia,5.0,WW au Maroc,Non,8.0,Très bon,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berrechid,2000.0,Manuelle,Diesel,75000.0,Renault,Express,3.0,WW au Maroc,Non,6.0,,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2014.0,Manuelle,Diesel,190000.0,Opel,Astra,5.0,WW au Maroc,Non,7.0,Excellent,98000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2017.0,Automatique,Diesel,110000.0,Audi,A6,,,,,,270000,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
Casablanca,2022.0,Manuelle,Diesel,100000.0,Peugeot,208,5.0,WW au Maroc,Oui,6.0,Très bon,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2021.0,Manuelle,Diesel,100000.0,Renault,Clio,5.0,WW au Maroc,Oui,6.0,Excellent,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2016.0,Manuelle,Diesel,140000.0,Renault,Kadjar,5.0,WW au Maroc,,,,155000,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Salé,2010.0,Manuelle,Essence,200000.0,Renault,Clio,5.0,WW au Maroc,Non,7.0,Très bon,58000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Khemisset,2006.0,Manuelle,Diesel,5000.0,Volkswagen,Touareg,5.0,WW au Maroc,Non,8.0,Bon,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2000.0,Manuelle,Diesel,250000.0,Toyota,Corolla,5.0,,,,,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2020.0,Automatique,Diesel,95000.0,Peugeot,3008,5.0,WW au Maroc,Non,8.0,Excellent,274000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Khénifra,2008.0,Manuelle,Diesel,170000.0,Toyota,Corolla,5.0,WW au Maroc,Non,9.0,Très bon,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2020.0,Automatique,Diesel,90000.0,Volkswagen,Passat,5.0,WW au Maroc,Oui,8.0,Excellent,245000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Khénifra,2008.0,Manuelle,Diesel,170000.0,Toyota,Corolla,5.0,WW au Maroc,Non,9.0,Très bon,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khénifra,2008.0,Manuelle,Diesel,170000.0,Toyota,Corolla,5.0,WW au Maroc,Non,9.0,Très bon,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khénifra,2008.0,Manuelle,Diesel,170000.0,Toyota,Corolla,5.0,WW au Maroc,Non,9.0,Très bon,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khénifra,2008.0,Manuelle,Diesel,170000.0,Toyota,Corolla,5.0,WW au Maroc,Non,9.0,Très bon,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2020.0,Automatique,Diesel,190000.0,Skoda,Octavia,5.0,WW au Maroc,Non,8.0,Excellent,205000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Settat,2013.0,Manuelle,Diesel,300000.0,Audi,A3,5.0,Dédouanée,Non,8.0,Très bon,169000,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
Tanger,2024.0,Automatique,Essence,0.0,Volkswagen,Polo,5.0,Dédouanée,Oui,6.0,Neuf,259000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meknès,2016.0,Manuelle,Diesel,170000.0,Mitsubishi,Pick-Up,3.0,WW au Maroc,Non,6.0,Excellent,167000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Marrakech,2019.0,Automatique,Diesel,100000.0,Volkswagen,Touareg,5.0,Dédouanée,Oui,12.0,Excellent,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2019.0,Automatique,Diesel,90000.0,Alfa Romeo,Stelvio,,,,,,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2016.0,Manuelle,Diesel,130000.0,Nissan,Note,5.0,WW au Maroc,Oui,6.0,Très bon,105000,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Casablanca,2021.0,Automatique,Diesel,90000.0,Peugeot,3008,5.0,WW au Maroc,Oui,8.0,Excellent,258000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Rabat,2013.0,Manuelle,Diesel,170000.0,Ford,Fiesta,5.0,,,,,94000,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1
Fès,2017.0,Manuelle,Diesel,170000.0,Renault,Clio,5.0,WW au Maroc,Non,6.0,Très bon,105000,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1
Meknès,2020.0,Automatique,Diesel,90000.0,Citroën,C5,5.0,Dédouanée,Non,6.0,Excellent,216000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Rabat,2022.0,Manuelle,Diesel,30000.0,Toyota,Hilux,5.0,WW au Maroc,Oui,10.0,Excellent,188000,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
Meknès,2021.0,Automatique,Diesel,85000.0,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8.0,Excellent,365000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Fès,2014.0,Manuelle,Diesel,250000.0,Toyota,Corolla,5.0,WW au Maroc,Oui,5.0,Bon,124000,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Casablanca,2023.0,Automatique,Diesel,50000.0,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8.0,Excellent,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2018.0,Manuelle,Diesel,90000.0,Toyota,Prado,5.0,WW au Maroc,Oui,12.0,Excellent,235000,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1
Tétouan,2010.0,Automatique,Diesel,0.0,Volkswagen,Touran,5.0,WW au Maroc,Non,8.0,Très bon,145000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Casablanca,2013.0,Automatique,Diesel,200000.0,Land Rover,Range Rover Sport,5.0,Importée neuve,Non,12.0,Excellent,169000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kénitra,2011.0,Automatique,Diesel,25000.0,Mercedes-Benz,250,5.0,WW au Maroc,Non,9.0,Excellent,149000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2023.0,Automatique,Diesel,50000.0,Renault,Talisman,5.0,,,,,260000,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Temara,2014.0,Manuelle,Diesel,200000.0,Peugeot,208,5.0,WW au Maroc,Non,6.0,Très bon,85000,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Marrakech,2012.0,Automatique,Diesel,25000.0,BMW,X3,,,,,,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammedia,2018.0,Automatique,Essence,80000.0,Toyota,C-HR,5.0,WW au Maroc,Non,9.0,Excellent,200000,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
Salé,2010.0,Manuelle,Essence,200000.0,Renault,Megane,,,,,,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2019.0,Manuelle,Diesel,160000.0,Fiat,Doblo,5.0,WW au Maroc,Non,6.0,Très bon,102000,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1
Marrakech,2013.0,Manuelle,Diesel,200000.0,Toyota,Avensis,5.0,WW au Maroc,Oui,8.0,Très bon,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2011.0,Manuelle,Diesel,170000.0,Dacia,Logan,5.0,WW au Maroc,Non,6.0,Très bon,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oujda,2016.0,Manuelle,Diesel,180000.0,Opel,Astra,5.0,WW au Maroc,Non,6.0,Très bon,144000,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2015.0,Manuelle,Diesel,95000.0,Mercedes-Benz,Classe C,5.0,WW au Maroc,Oui,9.0,Excellent,268000,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Casablanca,2021.0,Manuelle,Diesel,45000.0,Hyundai,i30,5.0,WW au Maroc,Non,6.0,Excellent,188001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2013.0,Automatique,Diesel,90000.0,Honda,CR-V,5.0,WW au Maroc,Oui,6.0,Excellent,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kénitra,2010.0,Manuelle,Essence,190000.0,Kia,Soul,5.0,WW au Maroc,Oui,9.0,Très bon,80000,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Marrakech,2020.0,Automatique,Diesel,140000.0,Skoda,Octavia,5.0,Dédouanée,Oui,7.0,Excellent,229000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Salé,2007.0,Manuelle,Diesel,170000.0,Peugeot,407,5.0,WW au Maroc,Non,8.0,Très bon,69000,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1
Tanger,2013.0,Automatique,Diesel,190000.0,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,8.0,Excellent,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2017.0,Automatique,Essence,85000.0,Audi,A1,5.0,WW au Maroc,Oui,8.0,Très bon,160000,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1
Salé,2020.0,Manuelle,Diesel,80000.0,Fiat,Tipo,5.0,WW au Maroc,Non,5.0,Très bon,115000,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Casablanca,2012.0,Manuelle,Diesel,140000.0,Mercedes-Benz,200,5.0,WW au Maroc,,,,142000,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Benslimane,2017.0,Automatique,Diesel,170000.0,Alfa Romeo,Stelvio,,,,,,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essaouira,2001.0,Manuelle,Diesel,190000.0,Peugeot,206,5.0,WW au Maroc,Non,6.0,Très bon,49000,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
Casablanca,2016.0,Manuelle,Essence,65000.0,Lancia,Delta,,,,,,85000,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
Essaouira,2001.0,Manuelle,Essence,120000.0,Renault,Clio,5.0,WW au Maroc,Non,7.0,Très bon,35000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2022.0,Automatique,Essence,25000.0,DFSK,Glory IX5,5.0,WW au Maroc,Oui,9.0,Excellent,220000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2014.0,Manuelle,Diesel,140000.0,Ford,Focus,5.0,WW au Maroc,Oui,6.0,Excellent,120000,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1
Meknès,2019.0,Manuelle,Diesel,130000.0,Peugeot,208,5.0,WW au Maroc,,,,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2020.0,Automatique,Diesel,65000.0,Peugeot,508,5.0,WW au Maroc,,,,248000,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
El Jadida,2015.0,Automatique,Diesel,170000.0,BMW,X3,5.0,WW au Maroc,Non,9.0,Très bon,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essaouira,1996.0,Manuelle,Diesel,250000.0,Mercedes-Benz,220,5.0,Dédouanée,Non,9.0,Bon,42000,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
Casablanca,2018.0,Automatique,Diesel,140000.0,Opel,Mokka,5.0,WW au Maroc,Oui,6.0,Excellent,144000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mohammedia,2016.0,Manuelle,Diesel,70000.0,Renault,Captur,,,,,,150000,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
Sidi Slimane,2014.0,Manuelle,Diesel,0.0,Toyota,Corolla,5.0,WW au Maroc,Non,6.0,Excellent,130000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2009.0,Manuelle,Diesel,190000.0,Ford,Mondeo,5.0,WW au Maroc,Oui,8.0,Très bon,103000,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Berkane,2017.0,Automatique,Essence,200000.0,Mitsubishi,Pajero,5.0,WW au Maroc,Oui,10.0,Très bon,250000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2017.0,Automatique,Diesel,5000.0,Renault,Clio,5.0,WW au Maroc,Oui,7.0,Excellent,122000,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0
Casablanca,2021.0,Automatique,Essence,60000.0,Mini,Cooper,3.0,Importée neuve,Oui,8.0,Excellent,350000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2021.0,Manuelle,Diesel,65000.0,Mitsubishi,L200,,,,,,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2017.0,Manuelle,Essence,65000.0,Opel,Adam,3.0,WW au Maroc,Oui,7.0,Excellent,110000,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
Casablanca,2022.0,Manuelle,Essence,20000.0,Hyundai,Creta,3.0,Importée neuve,Oui,9.0,Excellent,280000,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
Marrakech,2021.0,Manuelle,Diesel,120000.0,Dacia,Dokker,,,,,,125000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Temara,2020.0,Manuelle,Diesel,85000.0,Renault,Megane,5.0,WW au Maroc,,,,168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2013.0,Manuelle,Diesel,160000.0,Renault,Clio,5.0,WW au Maroc,Non,6.0,Excellent,103000,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Agadir,2021.0,Manuelle,Diesel,110000.0,Nissan,Qashqai,5.0,WW au Maroc,Oui,6.0,Excellent,214000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Rabat,2020.0,Manuelle,Diesel,190000.0,Nissan,Qashqai,5.0,WW au Maroc,Non,7.0,Très bon,192000,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
Casablanca,2018.0,Automatique,Diesel,85000.0,BMW,Série 1,5.0,WW au Maroc,,,,220000,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
Casablanca,2015.0,Automatique,Diesel,170000.0,Jeep,Cherokee,5.0,WW au Maroc,Non,8.0,Excellent,160000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2016.0,Manuelle,Diesel,140000.0,Toyota,Yaris,5.0,WW au Maroc,Non,5.0,Très bon,98000,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1
Casablanca,2017.0,Automatique,Essence,130000.0,Honda,Jazz,5.0,WW au Maroc,Oui,6.0,Très bon,130000,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0
Casablanca,2015.0,Manuelle,Diesel,95000.0,Volkswagen,Polo,5.0,WW au Maroc,Oui,5.0,Très bon,122000,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1
Casablanca,2023.0,Automatique,Diesel,50000.0,Dacia,Duster,5.0,WW au Maroc,Oui,6.0,Excellent,225000,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
Casablanca,2024.0,Manuelle,Diesel,10000.0,Peugeot,208,5.0,WW au Maroc,Oui,6.0,Excellent,180000,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
Meknès,2024.0,Manuelle,Diesel,65000.0,Dacia,Logan,5.0,WW au Maroc,Oui,6.0,Excellent,160000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Larache,2012.0,Automatique,Diesel,190000.0,Hyundai,ix35,5.0,WW au Maroc,Non,8.0,Très bon,125000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Meknès,2010.0,Manuelle,Essence,130000.0,Daihatsu,Sirion,,,,,,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanger,2006.0,Manuelle,Essence,100000.0,Renault,Clio,5.0,WW au Maroc,Non,7.0,Bon,40000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Béni Mellal,2023.0,Manuelle,Diesel,85000.0,Volkswagen,Caddy,5.0,WW au Maroc,Oui,8.0,Très bon,250000,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
Fès,2015.0,Manuelle,Diesel,190000.0,Ssangyong,Stavic,5.0,WW au Maroc,,,,76000,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1
Tanger,2015.0,Automatique,Diesel,170000.0,Renault,Fluence,5.0,WW au Maroc,Non,6.0,Excellent,113000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Salé,2008.0,Automatique,Diesel,200000.0,Mercedes-Benz,Classe B,5.0,Dédouanée,Non,7.0,Bon,65000,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1
Casablanca,2022.0,Manuelle,Essence,15000.0,Hyundai,Creta,,,,,,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safi,2000.0,Manuelle,Diesel,150000.0,Renault,Laguna,5.0,WW au Maroc,Non,7.0,Très bon,55000,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
Midelt,2023.0,Automatique,Diesel,20000.0,Hyundai,Tucson,5.0,WW au Maroc,Oui,6.0,Excellent,280000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Fès,2013.0,Manuelle,Diesel,120000.0,Mercedes-Benz,Classe B,5.0,WW au Maroc,,,,135000,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Casablanca,2007.0,Manuelle,Essence,200000.0,Peugeot,206,5.0,WW au Maroc,Non,6.0,Très bon,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Other,30000.0,Toyota,C-HR,5.0,WW au Maroc,Oui,7.0,Excellent,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fès,2009.0,Manuelle,Diesel,190000.0,Honda,Accord,5.0,WW au Maroc,,,,85000,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1
Agadir,2012.0,Manuelle,Diesel,200000.0,Volkswagen,Golf 6,5.0,Dédouanée,,,,126000,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1
Casablanca,2018.0,Manuelle,Diesel,120000.0,Dacia,Logan,5.0,WW au Maroc,Oui,6.0,Excellent,122000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Casablanca,2023.0,Automatique,Diesel,30000.0,Dacia,Logan,,,,,,158000,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2019.0,Manuelle,Diesel,0.0,Renault,Kangoo,5.0,WW au Maroc,Oui,8.0,Très bon,143000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Fès,2016.0,Manuelle,Diesel,160000.0,Ford,Fiesta,5.0,WW au Maroc,,,,109000,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
Nouaceur,2020.0,Manuelle,Diesel,140000.0,Fiat,Tipo,5.0,,,,,120000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1
Casablanca,2017.0,Manuelle,Diesel,100000.0,Ford,Fiesta,5.0,WW au Maroc,Oui,6.0,Excellent,107000,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1
