vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Casablanca,2018.0,Manuelle,Diesel,100000.0,Peugeot,3008,5.0,WW au Maroc,Non,6.0,Très bon,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Jadida,2007.0,Manuelle,Essence,150000.0,Chevrolet,Spark,5.0,,,,,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khouribga,2008.0,Automatique,Diesel,190000.0,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,12.0,,89000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2022.0,Automatique,Diesel,30000.0,Land Rover,Range Rover Evoque,,,,,,400000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marrakech,2022.0,Automatique,Diesel,90000.0,Jeep,Renegade,5.0,WW au Maroc,,,,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2021.0,Automatique,Diesel,140000.0,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Oui,8.0,Très bon,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2016.0,Automatique,Diesel,120000.0,Jeep,Wrangler,3.0,WW au Maroc,Oui,11.0,Excellent,300000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2018.0,Automatique,Diesel,120000.0,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Non,8.0,Bon,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2021.0,Automatique,Diesel,100000.0,Hyundai,i30,5.0,WW au Maroc,Oui,6.0,Excellent,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2023.0,Manuelle,Diesel,45000.0,Hyundai,Accent,5.0,WW au Maroc,Oui,6.0,Excellent,173000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2021.0,Manuelle,Diesel,130000.0,Renault,Clio,5.0,WW au Maroc,Non,6.0,Excellent,154998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouskoura,2017.0,Manuelle,Diesel,160000.0,Renault,Megane,5.0,WW au Maroc,Oui,6.0,Très bon,155000,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1
Casablanca,2016.0,Automatique,Diesel,140000.0,Mazda,CX-5,5.0,WW au Maroc,Oui,8.0,Excellent,149000,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1
Nador,2024.0,Automatique,Diesel,50000.0,Peugeot,2008,5.0,WW au Maroc,,,,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
